country,total_revenue,average
Nepal,2569.16,5.308182
Ukraine,9756.99,5.132557
Turkmenistan,3691.71,5.064074
Canada,4341.00,4.823333
Indonesia,3482.76,4.810442
"Russian Federation",13376.11,4.796024
Vietnam,4251.00,4.723333
"French Guiana",2283.16,4.717273
Algeria,6424.31,4.692703
Italy,10222.14,4.676185
Paraguay,2455.71,4.642174
Thailand,5038.11,4.626364
Chile,8178.31,4.623126
Poland,6175.55,4.591487
Egypt,5224.44,4.519412
Mozambique,8954.06,4.490502
Nigeria,13062.86,4.482793
Angola,2793.75,4.470000
Bangladesh,5447.75,4.447143
Colombia,2743.75,4.390000
Kenya,2743.75,4.390000
"Saudi Arabia",9152.15,4.389520
"South Africa",12704.99,4.379521
"South Korea",11963.62,4.369474
Mexico,27559.54,4.342821
"Dominican Republic",2294.71,4.337826
Philippines,29289.43,4.334680
Spain,8969.16,4.303820
Malaysia,3124.71,4.286296
Germany,20312.59,4.284453
"United Arab Emirates",2668.75,4.270000
Madagascar,2063.16,4.262727
Iran,3945.71,4.247266
Japan,28514.81,4.243907
India,48668.20,4.239390
"Congo, The Democratic Republic of the",5303.48,4.236006
Turkey,11959.35,4.174293
Israel,4543.11,4.171818
China,37975.77,4.162641
Argentina,11935.15,4.136967
Tonga,1328.76,4.101111
Liechtenstein,3212.16,4.097143
"United States",17000.71,4.020031
Taiwan,14836.94,4.003492
Venezuela,5069.32,3.997886
Netherlands,2087.71,3.946522
Brazil,19873.52,3.936910
Pakistan,7243.39,3.892203
Yemen,2619.24,3.874615
Estonia,3471.00,3.856667
"Puerto Rico",2800.71,3.841852
"United Kingdom",4222.83,3.780510
Morocco,1821.16,3.762727
Myanmar,3381.00,3.756667
France,3662.24,3.752295
Greece,2708.16,3.454286
Brunei,3977.75,3.247143
Anguilla,3732.75,3.047143
